Constant Name,Symbol,Value,Units,Source File,Category,Description,References
LEP_F_REL,F_rel,4.30e33,N,index.js,Experimental Integration,Relativistic coherence force from LEP 1998,Particle physics baseline
B_DPM,B_DPM,1e-4,T,index.js / CoAnQi_enhancements.cpp,DPM Framework,DPM dipole field strength (default),"Configurable per system"
COUPLING_k1,k_1,1.5,dimensionless,index.js / copilot-instructions.md,Gravity Coupling,Internal dipole coupling constant,Ug1 family scaling
COUPLING_k2,k_2,1.2,dimensionless,index.js / copilot-instructions.md,Gravity Coupling,Outer field bubble coupling constant,Ug2 heliosphere scaling
COUPLING_k3,k_3,1.8,dimensionless,index.js / copilot-instructions.md,Gravity Coupling,Magnetic strings disk coupling constant,Ug3 core penetration
COUPLING_k4,k_4,2.1,dimensionless,index.js / copilot-instructions.md,Gravity Coupling,Star-black hole interaction coupling,Ug4 galactic scale
COUPLING_ALPHA,α,0.0005,day⁻¹,index.js,Gravity Coupling,Non-linear time decay rate,Exponential damping term
COUPLING_GAMMA,γ,1e-22,dimensionless,index.js,Gravity Coupling,Aether coupling constant,Vacuum-field interaction strength
KAPPA_BFLOAT,κ_bfloat,0.0005,dimensionless,99system_wstp_gamma.py,UQFF Framework,Reactivity decay in Wolfram Language,For Exp[-κ t] time evolution
RHO_VAC_LEGACY,ρ_vac_legacy,1e-10,J/m³,add_uqff_remaining.py / add_uqff_methods.py,Legacy Constants,"Fallback legacy vacuum density value (DEPRECATED)",Used in old QCalc versions
RHO_VAC_UA_FALLBACK,ρ_vac_UA_fallback,7.09e-36,J/m³,add_uqff_methods.py,Vacuum Density,Fallback UA density when property unavailable,Equivalent to RHO_VAC_UA
RHO_VAC_SCM_FALLBACK,ρ_vac_SCm_fallback,7.09e-37,J/m³,add_uqff_methods.py,Vacuum Density,Fallback SCm density when property unavailable,Equivalent to RHO_VAC_SCM
G_STANDARD,G,6.67430e-11,m³/(kg·s²),CoAnQi_enhancements.cpp,Physical Constants,Standard gravitational constant (high precision),CODATA 2018 value
DPM_RATIO,[DPM],10,dimensionless,workspace_22May2026.md / dpm_vacuum_manifold.py,Quantum Chain,Ratio UA/SCm - scale-invariant DPM ratio,Fundamental topological ratio
E_CRACK,E_crack,9.9862e+22,J,workspace_22May2026.md,Quantum Chain,Critical energy for quantum crack threshold,"From 26-layer analysis"
RHO_VAC_ISM,ρ_vac_ISM,7.09e-37,J/m³,workspace_22May2026.md,Quantum Vacuum,Vacuum density ISM scale (=RHO_VAC_SCM),Interstellar medium coupling
RHO_VAC_NEBULA,ρ_vac_neb,7.09e-36,J/m³,workspace_22May2026.md,Quantum Vacuum,Vacuum density nebula scale (=RHO_VAC_UA),Nebula coupling
BETA_I_CANONICAL,β_i_canonical,0.603,dimensionless,workspace_22May2026.md / copilot-instructions.md,UQFF Framework,Refined buoyancy coupling constant,Grok Session 278-291 precise value
SSQ_BSFG,[SSq]_BSFG,0.57,dimensionless,workspace_22May2026.md,BSFG Framework,BSFG triple-point [SSq] calibration,Triple-path geometric convergence
RERING_BB_HZ,r_hz_BB,spherical,dimensionless,workspace_22May2026.md,Habitable Zone,Black body habitable zone radius,Recirculation equilibrium
BH26_SPECTRAL_N10_S7,N_10,26,dimensionless,workspace_22May2026.md,26D Framework,Black hole 26-sphere spectral multiplicity,S^25 degeneracy count
TRIPLE_PT_TOL,δ_3pt,1%,dimensionless,workspace_22May2026.md,Convergence Tolerance,Triple-point convergence tolerance,All 3 paths match within 1%
VDS_CALIBRATION_KNOTS,V_knots,99,dimensionless,workspace_22May2026.md,VDS Framework,Number of VDS knots for LUT interpolation,Li_25 and Li_26 samples
BSFG_FIXED_POINT,[SSq]_fp,0.57,dimensionless,workspace_22May2026.md,BSFG Framework,BSFG fixed point where all paths converge,Scalar curvature critical point
TIME_SCALE_MAYAN,t_Baktun,5125.36,years,workspace_22May2026.md / copilot-instructions.md,Mayan Timing,Mayan Baktun period,13 Baktun = 1,872,000 days
TIME_SCALE_BIBLICAL,t_generation,25,years,workspace_22May2026.md / copilot-instructions.md,Biblical Timing,Biblical generation period,Conventional genealogical unit
PI_DECIMAL_DIGITS,π_digits,312,digits,workspace_22May2026.md / copilot-instructions.md,Mathematical Constants,Pi infinity decoder from Wolfram,Sacred time constant extraction
OMEGA_C,ω_sun,2.0e-6,rad/s,index.js,Solar Cycles,Solar cycle frequency,11-year solar cycle × 2π
F_SM,F_SM,varies,dimensionless,various .cpp / .py,System-specific,System-specific scaling factors,AGN jets; star clusters; ICM
RHO_IM,ρ_IM,varies,kg/m³,various .cpp / .py,System-specific,Intra-cluster medium density,Cluster-specific parameter
MAGNETIC_FIELD_B,B,varies,T,various .cpp / .py,System-specific,Magnetic field strength (system-dependent),"Abell clusters; AGN"
KAPPA_BZ,κ_BZ,0.044,dimensionless,AGNJetDynamicsBlandfordZnajek.cpp,AGN Physics,Blandford-Znajek power coupling coefficient,P_BZ = κ_BZ × a² × B² × r_g² × c
